MAPID,NAME,CATEGORY1,CATEGORY2,ADDRESS,Geo Local Area
GCP220,Medicinal Herb Garden,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP221,Community Space Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP224,Green Initiatives Block Party,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain",Riley Park
GCP225,Bending Bench,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain",Riley Park
GCP228,Living Fence,Greenest City Fund Project,Access-to-Nature,"Mount Pleasant, Little Mountain",Riley Park
GCP231,Youth Garden Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP234,Dickens Children's Garden Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP235,Beekeeping Project,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP237,Green Grant Video Project,Greenest City Fund Project,Lighter-Footprint,"Mount Pleasant, Little Mountain",Riley Park
GCP239,Recycled Arts Workshops,Greenest City Fund Project,Zero-Waste,"Mount Pleasant, Little Mountain",Riley Park
GCP242,Food Scraps Drop Spot,Greenest City Fund Project,Local-Food,"Mount Pleasant, Little Mountain",Riley Park
GCP246,Neighbourhood Seed Library,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP249,Heritage Plum Trees,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP251,Railway Street Garden,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP252,Communilty Kitchen,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP254,Alma Blackwell Garden Project,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP255,Banana Beat/Mobile Smoothies,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP256,Pedaling Counter,Greenest City Fund Project,Lighter-Footprint,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP259,The Downtown Eastside Neighbourhood Hous,Greenest City Fund Project,Local-Food,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP260,BAG a Plant,Greenest City Fund Project,Lighter-Footprint,"Carnegie, Strathcona, Ray-Cam - Greenest City Small grants 2012 project.",Strathcona
GCP262,Electric Vehicle Charging Station,Private projects,Clean-Air,2388 Cambie Street,Mount Pleasant
GCP266,Electric Vehicle Charging Station,Private projects,Clean-Air,4915 W 16th Ave,West Point Grey
GCP272,Electric Vehicle Charging Station,Private projects,Clean-Air,100 W 49th Ave,Oakridge
GCP275,Electric Vehicle Charging Station,City projects,Clean-Air,4575 Clancy Loranger Way,Riley Park
GCP276,Electric Vehicle Charging Station,Private projects,Clean-Air,252 Raymur Ave,Strathcona
GCP277,Electric Vehicle Charging Station,Private projects,Clean-Air,1598 Johnston Street,Fairview
GCP284,Electric Vehicle Charging Station,Private projects,Clean-Air,999 W Hastings St,Downtown
GCP286,Electric Vehicle Charging Station,Private projects,Clean-Air,1180 W Hastings St,Downtown
GCP291,Electric Vehicle Charging Station,Private projects,Clean-Air,450 W Cordova,Downtown
GCP305,Community Garden,Private projects,Local-Food,1300 E Clark Dr,Kensington-Cedar Cottage
GCP310,Community Garden,Private projects,Local-Food,2390   Brunswick St,Mount Pleasant
GCP312,Community Garden,Private projects,Local-Food,500 W 54th Ave,Oakridge
GCP314,Community Garden,Private projects,Local-Food,4055  Victoria Dr,Kensington-Cedar Cottage
GCP315,Community Garden,Private projects,Local-Food,3877  Glen Dr,Kensington-Cedar Cottage
GCP318,Community Garden,Private projects,Local-Food,189 W 11th Ave,Mount Pleasant
GCP321,Community Garden,Private projects,Local-Food,857  Malkin Ave,Strathcona
GCP322,Community Garden,Private projects,Local-Food,1081  Burrard St,Downtown
GCP334,Community Garden,Private projects,Local-Food,1850  Spyglass Pl,Mount Pleasant
GCP335,Community Garden,Private projects,Local-Food,7500  Angus Dr,Kerrisdale
GCP337,Community Garden,Private projects,Local-Food,1688 E 8th Ave,Grandview-Woodland
GCP339,Community Garden,Private projects,Local-Food,6648  Ontario St,Oakridge
GCP346,Community Garden,Private projects,Local-Food,4000 W 11th Ave,West Point Grey
GCP347,Community Garden,Private projects,Local-Food,7155  Sherbrooke St,Sunset
GCP351,Community Garden,Private projects,Local-Food,2732  Horley St,Renfrew-Collingwood
GCP355,Community Garden,Private projects,Local-Food,234 E 15th Ave,Mount Pleasant
GCP357,Community Garden,Private projects,Local-Food,399  Hawks Ave,Strathcona
GCP358,Community Garden,Private projects,Local-Food,4410  Kaslo St,Renfrew-Collingwood
GCP363,Community Garden,Private projects,Local-Food,705  Woodland Dr,Grandview-Woodland
